word,definition,part of speech,example
extrapolate,draw from specific cases for more general cases.,verb,"By extrapolating from the data on the past three months, we can predict a 5% increase in traffic to our website."
facile,arrived at without due care or effort; lacking depth.,adjective,"Many news shows provide facile explanations to complex politics, so I prefer to read the in-depth reporting of The New York Times."
factious,"produced by, or characterized by internal dissension.",adjective,"The controversial bill proved factious, as dissension even within parties resulted."
factitious,artificial; not natural.,adjective,The defendant's story was largely factitious and did not accord with eyewitness testimonies.
feckless,lazy and irresponsible.,adjective,"Two years after graduation, Charlie still lived with his parents and had no job, becoming more feckless with each passing day."
fecund,intellectually productive.,adjective,"The artist had entered a fecund period, producing three masterpieces in the span of two months."
fell,terribly evil.,adjective,"For fans of the Harry Potter series, the fell Lord Voldemort, who terrorized poor Harry for seven lengthy installments, has finally been vanquished by the forces of good--unless, that is, JK Rowling decides to come out of retirement. This word has other definitions but this is the most important one for the GRE."
firebrand,someone who deliberately creates trouble.,noun,"Freddie is a firebrand: every time he walks into the office, he winds up at the center of heated argument."
flag,"droop, sink, or settle from or as if from pressure or loss of tautness; become less intense After the three crushing defeats in the last three games, the team's enthusiasm began to flag.",verb,This word has other definitions but this is the most important one for the GRE.
flippant,showing inappropriate levity.,adjective,"Although Sam was trying to honor Mark's sense of humor, many found it quite flippant that he wore a comic nose and glasses mask to Mark's funeral."
flummox,be a mystery or bewildering to.,verb,Mary's behavoir completely flummoxes me: I never have any idea what her motivations might be.
fractious,irritable and is likely to cause disruption.,adjective,"We rarely invite my fractious Uncle over for dinner; he always complains about the food, and usually launches into a tirade on some touchy subject."
gaffe,a socially awkward or tactless act.,noun,"In a famous gaffe, Vice President Quayle attempted to correct the spelling of a grade school student, only to find that the child was correct."
gambit,"a manuveur or risk in a game or conversation, designed to secure an advantage.",noun,"Randy played a gambit, telling his boss that he would leave at the end of the week if he didn't get a raise."
gerrymander,"to manipulate voting districts in order to favor a particular political party Years ago, savvy politicians had gerrymandered the city center to ensure their re-election.",verb,
graft,"corruption, usually through bribery.",noun,"In countries with rampant graft, getting a driver's license can require no more than paying an official. This word has other definitions but this is the most important one for the GRE."
grandiloquent,puffed up with vanity.,adjective,"The dictator was known for his grandiloquent speeches, puffing his chest out and using big, important- sounding words."
gumption,resourcefulness and determination.,noun,"Wallace Stegner lamented the lack of gumption in the U.S. during the sixties, claiming that no young person knew the value of work."
hagiographic,excessively flattering toward someone's life or work.,adjective,"Most accounts of Tiger Woods life were hagiographic, until, that is, his affairs made headlines."
hail,enthusiastically acclaim or celebrate something.,verb,"Many college superstar athletes are hailed as the next big thing, but then flop at the professional level. This word has other definitions but this is the most important one for the GRE."
halcyon,idyllically calm and peaceful; suggesting happy tranquillity; marked by peace and prosperity.,adjective,The first decade after WWI was a halcyon period in America with new-found wealth and rapidly improving technology.
hauteur,overbearing pride evidenced by a superior manner toward inferiors.,noun,"As soon as she won the lottery, Alice begin displaying a hauteur to her friends, calling them dirty-clothed peasants behind their backs."
hector,to bully or intimidate.,verb,"The boss's hectoring manner put off many employees, some of whom quit as soon as they found new jobs."
hedge,to limit or qualify a statement; to avoid making a direct statement.,verb,"When asked why he had decided to buy millions of shares at the very moment the tech companies stock soared, the CEO hedged, mentioning something vague about gut instinct. This word has other definitions but this is the most important one for the GRE."
histrionic,to be overly theatrical.,adjective,"Though she received a B- on the test, she had such a histrionic outburst that one would have thought that she'd been handed a death sentence."
hoary,ancient.,adjective,"Most workout gurus are young, fit people, whereas most yoga gurus are hoary men with long white beards."
hobble,to hold back the progress of something.,verb,"Bad weather has hobbled rescue efforts, making it difficult for crews to find bodies in the wreckage."
hoodwink,to deceive or trick someone.,verb,"Someone tried to hoodwink Marty with an email telling him that his uncle had just passed away, and to collect the inheritance he should send his credit card information."
hubris,overbearing pride or presumption.,noun,"Bill Clinton was criticized for his hubris, since he believed he could get away with anything once in the White House."
illustrious,widely known and esteemed; having or conferring glory Einstein was possibly the most illustrious scientist in recent history.,adjective,
imbibe,to drink or absorb as if drinking.,verb,"Plato imbibed Socrates' teachings to such an extent that he was able to write volumes of work that he directly attributed, sometimes word for word, to Socrates."
imbroglio,a confusing and potentially embarrassing situation.,noun,"The chef cook-off featured one gourmand who had the unfortunate distinction of mixing the wrong broths, creating an imbroglio that diners would not soon forget."
immure,"to enclose, usually in walls.",verb,"The modern supermarket experience makes many feel claustrophobic, as they are immured in walls upon walls of products."
impecunious,lacking money; poor.,adjective,"In extremely trying times, even the moderately wealthy, after a few turns of ill-fortune, can become impecunious."
imperious,having or showing arrogant superiority to and disdain of those one views as unworthy.,adjective,Children are imperious with each other before they learn that earning someone's respect is better than demanding.
impervious,not admitting of passage or capable of being affected I am not impervious to your insults; they cause me great pain.,adjective,
impetuous,"characterized by undue haste and lack of thought or deliberation Herbert is rarely impetuous, but on the spur of the moment, he spent thousands of dollars on a motorcycle today.",adjective,
importuned,beg persistently and urgently.,verb,"After weeks of importuning the star to meet for a five-minute interview, the journalist finally got what she wanted."
improvident,not given careful consideration.,adjective,"Marty was improvident, never putting money aside for the future but spending it on decorating the interior of his home."
impugn,attack as false or wrong.,verb,"Though many initially tried to impugn Darwin's theory, in scientific circles today, the is idea taken as truth."
impute,attribute (responsibility or fault) to something.,verb,He imputed his subpar performance on the test to a combination of stress and poor sleep.
inanity,total lack of meaning or ideas.,noun,"Bill's poem was nothing more than a list of impressive sounding words, so there was no point in trying to take meaning from the inanity."
inchoate,only partly in existence; imperfectly formed.,adjective,Inchoate ideas about the relation of humans to other animals had been discussed since the Middle Ages but the modern theory really began with Darwin.
incontrovertible,necessarily or demonstrably true; impossible to deny or disprove.,adjective,"Unless you can provide incontrovertible evidence, I will remain skeptical."
indigent,poor; having very little.,adjective,"In the so-called Third World, many are indigent and only a privileged few have the resources to enjoy material luxuries."
indigent,a poor or needy person.,noun,"The indigents, huddled under the overpass, tried to start a small bonfire in the hope of staying warm."
ineffable,too sacred to be uttered; defying expression or description.,adjective,"While art critics can occasionally pinpoint a work's greatness, much of why a piece captures our imaginations is completely ineffable."
ineluctable,impossible to avoid or evade:.,adjective,"For those who smoke cigarettes for years, a major health crisis brought on by smoking is ineluctable."
inequity,injustice by virtue of not conforming with rules or standards.,noun,"After decades of racial inequity, the ""separate but equal"" doctrine was successfully overturned."
infelicitous,inappropriate.,adjective,"During the executive meeting, the marketing director continued to make infelicitous comments about the CEO's gambling habit."
inimitable,defying imitation; matchless.,adjective,"Mozart's music follows a clear pattern that, anyone could imitate, but his music gives an overall sense of effortlessness that is inimitable."
insouciance,lack of concern.,noun,"Surprisingly, Hank had become a high-powered CEO; his high school friends remembered him as ""Hanky Panky"", who shrugged off each failed class with insouciance."
insufferable,"intolerable, difficult to endure.",adjective,"Chester always tried to find some area in which he excelled above others; unsurprisingly, his co-workers found him insufferable and chose to exclude him from daily luncheons out."
internecine,(of conflict) within a group or organization.,adjective,"The guerilla group, which had become so powerful as to own the state police, was finally destroyed by an internecine conflict."
intimation,an indirect suggestion.,noun,"At first the hostess tried intimation, praising the benefits of cutlery; when Cecil continued eating with his hands, the hostess told him to use a fork at dinner."
inure,to make accustomed to something unpleasant.,verb,Three years of Manhattan living has inured her to the sound of wailing sirens; she could probably sleep through the apocalypse.
invective,abusive or denunciatory language.,noun,The Internet has unleashed the invectives in many of us; many people post stinging criticism on the comments section underneath newspaper articles or YouTube videos.
invidious,likely to cause resentment.,adjective,"At a time when many others in the office were about to be laid off, many considered Cheryl's fine clothes that day an invidious display. This word has other definitions but this is the most important one for the GRE."
inviolable,"never to be broken, infringed, or dishonored.",adjective,Too many the grass at Wimbledon is inviolable and only greater tennis players are able to enjoy a game there.
inviolate,must be kept sacred.,adjective,"While the literary critic subjected most of the classics to the harshest reviews, he regarded Cervantes as inviolate, and had nothing but praise for him."
irrefutable,impossible to deny or disprove.,adjective,The existence of life on earth is irrefutable; the existence of intelligent life on earth is still hotly debated.
jaundice,to be biased against due to envy or prejudice.,adjective,"Shelly was jaundiced towards Olivia; though the two had once been best friends, Olivia had become class president, prom queen, and, to make matters worse, the girlfriend of the one boy Shelly liked."
jejune,dull; lacking flavor.,adjective,"Although many top chefs have secured culinary foam's popularity in haute cuisine, Waters criticizes it for being jejune and unfilling."
jejune,immature; childish.,adjective,Her boss further cemented his reuptation for being jejune after throwing a fit when the water cooler wasn't refilled.
jingoist,a person who thinks that their country should be at war.,noun,"In the days leading up to war, a nation typically breaks up into the two opposing camps: doves, who do their best to avoid war, and jingoists, who are only too eager to wave national flags from their vehicles and vehemently denounce those who do not do th."
juggernaut,a force that cannot be stopped.,noun,"Napoleon was considered a juggernaut until he decided to invade Russia in winter; after which, his once indomitable army was decimated by cold and famine."
kowtow,to bow or act in a subservient manner.,verb,Paul kowtowed to his boss so often the boss herself became nauseated by his sycophancy.
lacerate,deeply hurt the feelings of; distress.,verb,The teacher was fired for lacerating a student who wrote a poor essay. This word has other definitions but this is the most important one for the GRE.
lachrymose,showing sorrow.,adjective,"Lachrymose and depressed, Alexei Alexandrovich walked two miles home in the rain after learning that his wife was having an affair."
lampoon,ridicule with satire.,verb,Mark Twain understood that lampooning a bad idea with humor was the most effective criticism.
languish,become feeble.,verb,"Stranded in the wilderness for four days, the hiker languished, eating protein bars and nuts."
lascivious,lecherous; sexually perverted.,adjective,"Lolita is a challenging novel for many, not necessarily because of the elevated prose style but because of the depravity of the main character, Humbert Humbert, who, as an old, lascivious man, falls in love with a girl."
limpid,clarity in terms of expression.,adjective,Her limpid prose made even the most recondite subjects accessible to all.
litany,any long and tedious account of something.,noun,"Mr. Rogers spoke to a Senate committee and did not give a litany of reasons to keep funding the program, but instead, appealed to the basic human decency of all present."
loath,unwillingness to do something contrary to your custom (usually followed by 'to') I was loath to leave the concert before my favorite band finished playing.,adjective,
lugubrious,excessively mournful.,adjective,"At the funeral, lugubrious songs filled the small church."
machinate,"engage in plotting or enter into a conspiracy, swear together The rebels met at night in an abandoned barn to machinate.",verb,
magisterial,offensively self-assured or given to exercising unwarranted power.,adjective,"Though she was only a third grade teacher, Ms. Martinet was magisterial in dealing with her class, lording over them like a queen. This word has other definitions but this is the most important one for the GRE."
malapropism,the confusion of a word with another word that sounds similar.,noun,"Whenever I looked glum, my mother would offer to share ""an amusing antidote"" with me--an endearing malapropism of ""anecdote"" that never failed to cheer me up."
malfeasance,misconduct or wrongdoing (especially by a public official).,adjective,"Not even the mayor's trademark pearly-toothed grin could save him from charges of malfeasance: while in power, he'd been running an illegal gambling rink in the room behind his office."
malingerer,someone shirking their duty by pretending to be sick or incapacitated.,noun,"At one time, our country was full of hardworking respectful people, but now it seems that everyone is a malingerer with little inclination to work."
martinet,a strict disciplinarian.,noun,"The job seemed perfect to Rebecca, until she found out that her boss was a total martinet; after each project the boss would come by to scrutinize--and inevitably criticize--every little detail of the work Rebecca had done."
maudlin,overly emotional and sad.,adjective,"Just as those who were alive during the 70's are mortified that they once cavorted about in bellbottoms, many who lived during the 80's are now aghast at the maudlin pop songs they used to enjoy--really, just what exactly is a total eclipse of the heart?."
maunder,wander aimlessly.,verb,Max liked to maunder down by the seaside and pick up whatever sea shells he would stumble upon.
maunder,speak (about unimportant matters) rapidly and incessantly.,verb,"After drinking two expressos each, the animated couple would maunder loudly, annoying the other patrons in the coffee shop."
mellifluous,smooth and sweet-sounding.,adjective,"Chelsea's grandmother thought Franz Schubert's music to be the most mellifluous ever written; Chelsea demurred, and to her grandmother's chagrin, would blast Rihanna on the home stereo speakers."
mendicant,a pauper who lives by begging.,noun,"Tolstoy was an aristocrat, but he strove to understand the Christianity of the Russian peasants by wandering among them as a mendicant."
meteoric,like a meteor in speed or brilliance or transience.,adjective,"The early spectacular successes propelled the pitcher to meteoric stardom, but a terribly injury tragically cut short his career."
mettlesome,filled with courage or valor.,adjective,"For its raid on the Bin Laden's compound in Abbottabad, Seal Team Six has become, for many Americans, the embodiment of mettle."
misattribute,To erroneously attribute; to falsely ascribe; used especially of authorship.,verb,"I made a mistake; I misattributed ""Crime and Punishment"" to Leo Tolstoy when it was actually written by Fyodor Dostoyevsky."
modicum,a small or moderate or token amount.,noun,"If my sister had even a modicum of sense, she wouldn't be engaged to that barbarian."
mordant,"biting and caustic in thought, manner, or style.",adjective,"While Phil frequently made mordant remarks about company policy overall, he always was considerably gentler in discussing any person in particular."
moribund,"being on the point of death; declining rapidly losing all momentum in progress Whether you like it or not, jazz as a genre is moribund at best, possibly already dead.",adjective,
mulct,to defraud or swindle.,verb,"The so-called magical diet cure simply ended up mulcting Maria out of hundreds of dollars, but did nothing for her weight."
nadir,the lowest point.,noun,"For many pop music fans, the rap and alternative-rock dominated 90s were the nadir of musical expression."
nettlesome,causing irritation or annoyance.,adjective,"Maria found her coworkers cell phone nettlesome, because every few minutes it would buzz to life with another text message."
noisome,having an extremely bad smell.,adjective,"Each August, when the winds moved in a south easterly direction, the garbage dump would spread noisome vapors through the small town."
nonchalant,coming across as cooly uninterested.,adjective,"The twenty-somethings at the coffee shop always irked Sheldon, especially the way in which they acted nonchalantly towards everything, not even caring when Sheldon once spilled his mocha on them."
objurgate,express strong disapproval of.,verb,The manager spent an hour objurgating the employee in the hopes that he would not make these mistakes again.
oblique,not straightforward; indirect.,adjective,"Herbert never explicitly revealed anything negative about Tom's past, but at times he would obliquely suggest that Tom was not as innocent as he seemed. This word has other definitions but this is the most important one for the GRE."
obstreperous,noisily and stubbornly defiant; willfully difficult to control.,adjective,"When the teacher asked the obstreperous student simply to bus his tray, the student threw the entire tray on the floor, shouted an epithet, and walked out."
obtain,"be valid, applicable, or true.",adjective,"The custom of waiting your turn in line does not obtain in some countries, in which many people try to rush to front of the line at the same time. This word has other definitions but this is the most important one for the GRE."
obtuse,slow to learn or understand; lacking intellectual acuity; lacking in insight or discernment.,adjective,Jackson was the most obtuse member of the team: the manager's subtle ironies were always lost on him.
officious,intrusive in a meddling or offensive manner.,adjective,"The professor had trouble concentrating on her new theorem, because her officious secretary would barge in frequently reminding her of some trivial detail involving departmental paperwork."
ossify,make rigid and set into a conventional pattern.,verb,"Even as a young man, Bob had some bias against poor people, but during his years in social services, his bad opinions ossified into unshiftable views. This word has other definitions but this is the most important one for the GRE."
overweening,arrogant; presumptuous.,adjective,Mark was so convinced of his basketball skills that in his overweening pride he could not fathom that his name was not on the varsity list; he walked up to the basketball coach and told her she had forgotten to add his name.
palatable,acceptable to the taste or mind.,adjective,"MIkey didn't partake much in his friends' conversations, but found their presence palatable. This word has other definitions but this is the most important one for the GRE."
palaver,speak (about unimportant matters) rapidly and incessantly.,verb,"During the rain delay, many who had come to see the game palavered, probably hoping that idle chatter would make the time go by faster. This word has other definitions but this is the most important one for the GRE."
palimpsest,something that has been changed numerous times but on which traces of former iterations can still be seen.,noun,"The downtown was a palimpsest of the city's checkered past: a new Starbucks had opened up next to an abandoned, shuttered building, and a freshly asphalted road was inches away from a pothole large enough to swallow a small dog."
panacea,hypothetical remedy for all ills or diseases; a universal solution.,noun,"While the company credit card has made most large purchases easier, it is no panacea: some smaller basic transactions still must be conducted in cash."
panegyric,a formal expression of praise.,noun,"Dave asked Andrew to do just a simple toast, but Andrew launched into a full panegyric, enumerating a complete list of Dave's achievements and admirable qualities."
paragon,model of excellence or perfection of a kind; one having no equal.,noun,"Even with the rise of Kobe Bryant, many still believe that Michael Jordon is the paragon for basketball players."
paragon,an ideal instance; a perfect embodiment of a concept.,noun,"Some say that Athens was the paragon of democracy, but these people often forget that slaves and women were still not allowed to vote."
pariah,an outcast.,noun,"The once eminent scientist, upon being found guilty of faking his data, has become a pariah in the research community."
parvenu,"a person who has suddenly become wealthy, but not socially accepted as part of a higher class.",noun,The theater was full of parvenus who each thought that they were surrounded by true aristocrats.
patent,glaringly obvious.,adjective,"Since the book had been through no fewer than six proof runs, the staff was shocked to see such a patent spelling mistake remaining, right in the middle of the front cover!."
pecuniary,relating to or involving money.,adjective,The defendent was found guilty and had to serve a period of community service as well as pay pecuniary damages to the client.
pellucid,transparently clear; easily understandable.,adjective,The professor had a remarkable ability make even the most difficult concepts seem pellucid.
penurious,lacking money; poor.,adjective,"Truly penurious, Mary had nothing more than a jar full of pennies."
penurious,miserly.,adjective,"Warren Buffett, famous multi-billionaire, still drives a cheap sedan, not because he is penurious, but because luxury cars are gaudy and impractical."
percipient,highly perceptive.,adjective,Even the most percipient editor will make an occasional error when proofreading.
peremptory,bossy and domineering.,adjective,"My sister used to peremptorily tell me to do the dishes, a chore I would either do perfunctorily or avoid doing altogether."
perfunctory,done routinely and with little interest or care.,adjective,"The short film examines modern perfunctory cleaning rituals such as washing dishes, doing laundry and tooth-brushing."
peripatetic,traveling by foot.,adjective,Jim always preferred a peripatetic approach to discovering a city: he felt that he could see so many more details while walking.
perspicacious,acutely insightful and wise.,adjective,"Many modern observers regard Eisenhower as perspicacious, particularly in his accurate prediction of the growth of the military."
phantasmagorical,illusive; unreal.,adjective,"Those suffering from malaria fall into a feverish sleep, their world a whirligig of phantasmagoria; if they recover, they are unsure of what actually took place and what was simply a product of their febrile imaginations."
philistine,smug and ignorant towards artistic and cultural values.,adjective,"Jane considered Al completely philistine, because he talked almost exclusive about video games; she was entirely unaware of how well read he really was. This word has other definitions but this is the most important one for the GRE."
phlegmatic,showing little emotion.,adjective,"Arnold is truly noble, remaining reserved until an issue of significance arises, but Walter is simply phlegmatic: he doesn't have the energy or inclination to care about anything."
picayune,trifling or petty (a person).,adjective,"English teachers are notorious for being picayune; however, the English language is so nuanced and sophisticated that often such teachers are not being contrary but are only adhering to the rules."
pillory,ridicule or expose to public scorn.,verb,"After the candidate confessed, the press of the opposing party took the opportunity to pillory him, printing editorials with the most blatantly exaggerated accusations. This word has other definitions but this is the most important one for the GRE."
pith,the most essential part of something.,noun,"When Cynthia hears a speaker presenting a complex argument, she is always able to discard the irrelevant details and extract the pith of what the speaker is trying to convey. This word has other definitions but this is the most important one for the GRE."
plucky,marked by courage and determination.,adjective,"Some scouts initially doubted Pedroia because of his short stature, but he is a plucky player, surprising everyone with his boundless energy and fierce determination."
Pollyannaish,extremely optimistic.,adjective,"Even in the midst of a lousy sales quarter, Debbie remained Pollyannaish, never losing her shrill voice and wide smile, even when prospective customers hung up on her."
ponderous,weighed-down; moving slowly.,adjective,"Laden with 20 kilograms of college text books, the freshman moved ponderously across the campus."
pontificate,talk in a dogmatic and pompous manner.,verb,"The vice-president would often pontificate about economic theory, as if no one else in the room were qualified to speak on the topic. This word has other definitions but this is the most important one for the GRE."
portentous,ominously prophetic.,adjective,"When the captain and more than half the officers were sick on the very first night of the voyage, many of the passengers felt this was portentous, but the rest of the voyage continued without any problems."
precipitate,hasty or rash.,adjective,"Instead of conducting a thorough investigation after the city hall break-in, the governor acted precipitately, accusing his staff of aiding and abetting the criminals."
precipitate,to cause to happen.,verb,The government's mishandling the hurricane's aftermath precipitated a widespread outbreak of looting and other criminal activity.
presentiment,a feeling of evil to come.,noun,"On the night that Lincoln would be fatally shot, his wife had a presentiment about going to Ford's Theater, but Lincoln persuaded her that everything would be fine."
primacy,the state of being first in importance.,noun,"The primacy of Apple Computers is not guaranteed, as seen in the recent lawsuits and weak growth."
probity,"integrity, strong moral principles.",noun,"The ideal politician would have the probity to lead, but reality gravely falls short of the ideal of morally upright leaders."
prognostication,a statement made about the future.,noun,"When the Senator was asked about where the negotiations would lead, he said that any guess he could make would be an unreliable prognostication."
prolixity,boring verbosity.,noun,"I loved my grandfather dearly, but his prolixity would put me to sleep, regardless of the topic."
promulgate,state or announce.,verb,"The President wanted to promulgate the success of the treaty negotiations, but he had to wait until Congress formally approved the agreement."
propitiate,to placate or appease.,verb,"The two sons, plying their angry father with cheesy neckties for Christmas, were hardly able to propitiate him -- the father already had a drawer full of ones he had never worn before or ever planned to."
prosaic,dull and lacking imagination.,adjective,"Unlike the talented artists in his workshop, Paul had no such bent for the visual medium, so when it was time for him to make a stained glass painting, he ended up with a prosaic mosaic."
proscribe,command against.,verb,My doctor proscribes that I not eat donuts with chocolate sauce and hamburger patties for breakfast.
proselytize,"convert to another religion, philosophy, or perspective.",verb,"Lisa loves her Mac but says little about it; by contrast, Jake will proselytize, interrogating anyone with an Android about why she didn't purchase an iPhone."
protean,readily taking on different roles; versatile.,adjective,"Peter Sellers was truly a protean actor--in Doctor Strangelove he played three very different roles: a jingoist general, a sedate President and a deranged scientist."
provident,careful in regard to your own interests; providing carefully for the future.,adjective,"In a move that hardly could be described as provident, Bert spend his entire savings on a luxurious cruise, knowing that other bills would come due a couple months later."
puerile,of or characteristic of a child; displaying or suggesting a lack of maturity.,adjective,"Helen enjoyed blowing soap bubbles, but Jim regarded this as puerile, totally unworthy of a woman with a Ph.D."
puissant,powerful.,adjective,"Over the years of service, and quite to his surprise, he became a puissant advisor to the community."
punctilious,marked by precise accordance with details.,adjective,The colonel was so punctilious about enforcing regulations that men fell compelled to polish even the soles of their shoes.
pyrrhic,describing a victory that comes at such a great cost that the victory is not worthwhile George W.,adjective,Bush's win in the 2000 election was in many ways a pyrrhic victory: the circumstances of his win alienated half of the U.S. population.
quail,"draw back, as with fear or pain.",verb,"Craig always claimed to be a fearless outdoorsman, but when the thunderstorm engulfed the valley, he quailed at the thought of leaving the safety of his cabin. This word has other definitions but this is the most important one for the GRE."
quisling,a traitor.,noun,History looks unfavorably upon quislings; indeed they are accorded about the same fondness as Nero--he who watched his city burn down while playing the violin.
quixotic,wildly idealistic; impractical.,adjective,"For every thousand startups with quixotic plans to be the next big name in e-commerce, only a handful ever become profitable."
raconteur,a person skilled in telling anecdotes.,noun,"Jude is entertaining, but he is no raconteur: beyond the handful of amusing stories he has memorized, he has absolutely no spontaneous story-telling ability."
raillery,light teasing.,noun,"The new recruit was not bothered by the raillery, finding most of it light-hearted and good-natured."
rapprochement,the reestablishing of cordial relations.,noun,"Although Ann hoped that her mother and her aunt would have a rapprochement, each one's bitter accusations against the other made any reconciliation unlikely."
rarefied,make more subtle or refined.,verb,Jack's vulgar jokes were not so successful in the rarefied enviroment of college professors. This word has other definitions but this is the most important one for the GRE.
recapitulation,a summary (think of recap).,noun,Every point of the professors lesson was so clear that the students felt his concluding recapitulation was not necessary.
recrimination,mutual accusations.,noun,"The two brothers sat and cried, pointing fingers and making elaborate recriminations of the other's guilt."
recrudesce,to break out or happen again.,verb,"After years of gamblers anonymous, Tony thought he'd broken his compulsive slot machine playing, but it took only one trip to the Atlantic City for a full recrudescence--he lost $5k on the one armed bandit."
redoubtable,inspiring fear or awe.,adjective,"On television basketball players don't look that tall, but when you stand in front of a seven-foot tall NBA player, he is truly redoubtable."
remonstrate,to make objections while pleading.,verb,"The mothers of the kidnapped victims remonstrated to the rogue government to release their children, claiming that the detention violated human rights."
reprisal,a retaliatory action against an enemy in wartime.,noun,"The Old Testament doctrine of an eye for an eye is not the kind of retaliation practiced in war; rather, an. arm, a leg, and both ears are the reprisal for the smallest scratch."
ribald,humorously vulgar.,adjective,"The speaker was famous for his ribald humor, but the high school principal asked him to keep the talk G- rated when he spoke to the student body."
row,an angry dispute.,noun,The Prime Minister looked very foolish after his row with the foreign dignitary was caught on video and posted on youtube. This word has other definitions but this is the most important one for the GRE.
sagacious,having good judgement and acute insight.,adjective,"Steve Jobs is surely one of the most sagacious CEOs, making Apple the most recognizable and valuable companies in the world."
sangfroid,calmness or poise in difficult situations.,noun,"The hostage negotiator exhibited a sangfroid that oftentimes was more menacing than the sword at his throat, or the gun at his head."
sardonic,disdainfully or ironically humorous; scornful and mocking.,adjective,A stand-up comedian walks a fine line when making jokes about members of the audience; such fun and joking can quickly become sardonic and cutting.
sartorial,related to fashion or clothes.,adjective,"Monte was astute at navigating the world of finance; sartorially, however, he was found wanting--he typically would attempt to complement his beige tie with a gray suit and white pants."
saturnine,morose or gloomy.,adjective,"Deprived of sunlight, humans become saturnine; that's why in very northerly territories people are encouraged to sit under an extremely powerful lamp, lest they become morose."
schadenfreude,joy from watching the suffering of others.,noun,"From his warm apartment window, Stanley reveled in schadenfreude as he laughed at the figures below, huddled together in the arctic chill."
sedulous,done diligently and carefully.,adjective,"An avid numismatist, Harold sedulously amassed a collection of coins from over 100 countries--an endeavor that took over fifteen years, and to five continents. self-"
effacing,reluctant to draw attention to yourself.,adjective,"The most admirable teachers and respected leaders are those who are self-effacing, directing attention and praise to their students and workers."
semblance,an outward or token appearance or form that is deliberately misleading.,noun,"While the banker maintained a semblance of respectability in public, those who knew him well were familiar with his many crimes."
sententious,"to be moralizing, usually in a pompous sense.",adjective,"The old man, casting his nose up in the air at the group of adolescents, intoned sententiously, ""Youth is wasted on the young.""."
simulacrum,a representation of a person (especially in the form of sculpture).,noun,The Shanghai Urban Planning Exhibition Center showcases a simulacrum of all the present and approved buildings in the city of Shanghai.
simulacrum,a bad imitation.,noun,The early days of computer graphics made real people into a simalacrum that now seems comical.
sinecure,an office that involves minimal duties.,noun,"The position of Research Director is a sinecure: the job entails almost no responsibilities, nor does the person in that position have to answer to anyone."
solecism,a socially awkward or tactless act.,noun,Mother Anna was always on guard against any solecism from her children and scolded them immediately if any of them talked out of place in public. This word has other definitions but this is the most important one for the GRE.
solicitous,showing hovering attentiveness.,adjective,"Our neighbors are constantly knocking on our door to make sure we are ok, and I don't know how to ask them to stop being so solicitous about our health. This word has other definitions but this is the most important one for the GRE."
solicitude,a feeling of excessive concern.,noun,"I walked to his house in the rain to make sure he had enough to eat while he was sick, but he seemed not to appreciate my solicitude."
spartan,unsparing and uncompromising in discipline or judgment; practicing great self- denial.,adjective,"After losing everything in a fire, Tim decided to live in spartan conditions, sleeping on the floor and owning as little furniture as a possible."
splenetic,very irritable.,adjective,"Ever since the car accident, Frank has been unable to walk without a cane, and so he has become splenetic and unpleasant to be around."
squelch,suppress or crush completely.,verb,"After the dictator consolidated his power, he took steps to squelch all criticism, often arresting any journalist who said anything that could be interpreted as negative about his regime."
stalwart,dependable; inured to fatigue or hardships.,adjective,"Despite all the criticism directed at the President during this scandal, Lisa has remained his stalwart supporter."
stultify,"cause one, through routine, to lose energy and enthusiasm.",verb,"As an undergraduate Mark felt stultified by classes outside his area of study; only in grad school, in which he could focus solely on literary analysis, did he regain his scholarly edge."
subterfuge,something intended to misrepresent the true nature of an activity.,noun,"Finally deciding to abandon all subterfuge, Arthur revealed to Cindy everything about his secret affair over the past two years."
supercilious,haughty and disdainful; looking down on others.,adjective,"Nelly felt the Quiz Bowl director acted superciliously towards the underclassmen; really, she fumed, must he act so preternaturally omniscient each time he intones some obscure fact--as though everybody knows that Mt. Aconcagua is the highest peak in Sout."
surfeit,an excessive amount of something.,noun,There was no such thing as a surfeit of shopping for Nancy--she could stay at the outlet stores from opening to closing time.
surreptitious,"stealty, taking pains not to be caught or detected.",adjective,"Since his mom was a light sleeper, Timmy had to tiptoe surreptitiously through the entire house, careful to not make the floors creak, until he at last was able to enjoy his plunder: a box of chocolate chip cookies."
sybarite,a person who indulges in luxury.,noun,"Despite the fact that he'd maxed out fifteen credit cards, Max was still a sybarite at heart: when the police found him, he was at a $1,000 an hour spa in Manhattan, getting a facial treatment."
temerity,fearless daring.,noun,No child has the temerity to go in the rundown house at the end of the street and see if it is haunted.
tempestuous,as if driven by turbulent or conflicting emotions; highly energetic and wildly changing or fluctuating.,adjective,"Chuck and Kathy had always been stable and agreeable people on their own, but when they got involved, it was a tempestuous relationship."
tendentious,likely to lean towards a controversial view.,adjective,"Because political mudslinging has become a staple of the 24-hour media cycle, most of us, despite protestations to the contrary, are tendentious on many of today's pressing issues."
transmute,"change or alter in form, appearance, or nature.",verb,One of the goals of alchemy was to find the substance or process that would transmute lead into gold.
trenchant,"characterized by or full of force and vigor; having keenness and forcefulness and penetration in thought, expression, or intellect.",adjective,"Jill presented a rather superficial treatment of sales in Asia, but her trenchant analysis of sales in Europe inspired a number of insights into how to proceed in that market."
